writer;words_infered_fromtext;num_words_infered_fromtext;total_words_infered_fromtext;total_words_cropped
CF00212;[anos,de,as,Sas.,a,quando,159,local,do,Pessoal,portanto,me,Escola,87,alguma,Lojas,dois,Bob,Soube,na,Rayon,onde,Dr.,datilografia,300,De];26;79;441
CF00213;[Rua,a,de,me,do,Bob,De,Rayon,na,159,pela,local,18,uma,V.,as];16;71;611
CF00214;[300,me,a,para,de,Yolanda,Dr.,Bob,Soube,local,pela,um,que,do,Sou,Contabilidade,18,com,anos,onde,dois,coloco,minhas,uma,Para,imprensa,as,V.,Rua,S.A.,Ap.];31;91;377
CF00215;[de,lhes,uma,que,Soube,300,a,me,do,Ap.,dois,as,De,local,pela,com,anos,Sas.,um,onde,nas];21;67;373
CF00216;[de,a,e,exerci,as,do,Bob,De,Soube,me,curso,com,Kirt,Alves,dois,cordiais,Dr.,Sou,na];19;83;643
CF00217;[do,a,as,de,Dr.,Rayon,De,Grau];8;21;430
CF00218;[de,me,resposta,cordiais,uma,Para,um,do,a,com,300,dois,Rayon,onde,as,De,Ap.,Nova,Sas.,Soube,Pessoal,na,Rua,nas];24;74;377
CF00219;[Dr.,a,as,e,de,300];6;15;277
CF00220;[de,um,do,me,a,dois,159,18,as,300];10;34;381
CF00221;[as,de,a,me,Bob,do,300,com,Nova,pela,Pessoal,esta,Alves,159,V.,necessitam,De];17;52;442
CF00222;[a,Lojas,dois,do,Ap.,de,exerci,as,Sas.,e,Nova,avaliar,Grant,Dr.,Bob,Soube,local,Na,um,Pessoal,com,Alves,Municipal,De,S.A.,coloco,-,para,quando,esta,alguma,300,durante,Para,Rua,curso,18,brasileiro];38;118;534
CF00223;[300,de,Yolanda,Soube,local,a,com,do,me,Dr.,Grant,pela,que,Rua,para,Para,Ap.,onde];18;62;386
CF00224;[de,minhas,Na,Nova,vaga,Sou,Rua,com,curso,dois,as,Dr.,pela,local,Soube,do,me,a,e,18,Ap.,anos,300,S.A.];24;43;394
CF00225;[me,de,minhas,159,local,pela,que,do,curso,a,com,anos,onde,quando,imprensa,na,um,300,dois,as,Yolanda,resposta,lhes,Soube,esta,87];26;77;385
CF00226;[de,me,uma,um,na,do,a,com,curso,dois,300,as,pela,Pessoal,87,anos,esta,Rayon,onde,De];20;83;387
CF00227;[Fernando,Kirt,a,alguma,de,onde,com,me,300,do,local,De,dois,exerci,as,uma,Curso,curso,Sou,Grant,brasileiro,solteiro,anos];23;87;572
CF00228;[do,Na,a,300,as,nas,Ap.];7;20;352
CF00229;[de,as,um,local,pela,na,do,a,me,18,curso,com,Ap.,300,dois,Rayon,Rua,159,14506,Alves,alguma,Municipal,onde,minhas,portanto];25;89;429
CF00230;[de,a,um,uma,do,que,300,as,na,Dr.,local,pela,me,com,87,esta];16;59;393
CF00231;[de,a,quando,lhes,14506,Pessoal,do,portanto,300,com,dois,Lojas,durante,as,coloco,Na,Dr.,local,esta,Rua,nas,me,Grant,onde];24;63;365
CF00232;[a,de,me,do,Ap.,com,as,onde,uma,87,anos,De];12;29;453
CF00233;[as,de,um,lhes,159,do,a,com,18,dois,onde,De,me,Soube,na,Nova,que];17;71;426
CF00234;[de,S.A.,dois,a,as,onde,para,do,me,De,87,esta,brasileiro,Sou,18,Ap.,curso,Sas.,local,solteiro,Escola,Alves,Rayon,Universais,durante,Dr.,300,Municipal];28;92;511
CF00235;[a,De,Sou,com,18,as,159,Sas.,Grant,87];10;22;464
CF00236;[de,a,do,Bob,Soube,que,com,dois,onde,as,Dr.,anos,Ap.];13;49;405
CF00237;[a,159,do,de,Dr.,Grant,me,anos];8;22;376
CF00238;[300,de,a,159,com,do,dois,onde,me,local,Ap.,e,Bob,Na];14;59;395
CF00239;[do,anos,de,as,Na,resposta,a,Dr.,local,me,esta,com,De,Pessoal,alguma,dois,Lojas,cordiais,V.,18,300];21;53;457
CF00240;[me,a,um,De];4;8;380
CF00241;[anos,onde,de,a,300,me,quando,as,Para,Grant,pela,que,Sas.,do,esta,Sou,Rua,Escola,dois,De,um,lhes,uma,local,com,87,alguma,Rayon,Soube,nas,Ap.];31;89;438
CF00242;[local,de,me,a,Contabilidade,anos,lhes,do,as,Rua,onde,300,com,159,De];15;41;356
CF00243;[300,as,de,um,a,Bob,Fernando,do,na,vaga,portanto,Municipal,Alves,87,onde,dois,nas,anos,De,para,me,Nova,14506,159,Grant,Dr.,local,Pessoal,18,curso,alguma,Auxiliar,coloco-me,minhas,uma,pela,Soube,Curso,com,Ap.,possuo];41;87;422
CF00244;[de,a,quando,local,300,portanto,do,18,com,Alves,dois,anos,De,Yolanda,Grant,Bob,alguma,Rua,Sas.,as,apresento,e,na,um,Pessoal,vaga,Sou];27;72;420
CF00245;[dois,a,anos,Nova,local,do,Ap.,Rua,Sas.,De,expectativa,vaga,me,300,com,18,as];17;39;494
CF00246;[Rayon,anos,onde,exerci,de,coloco-me,avaliar,Na,um,a,cordiais,Fernando,Para,Bob,Dr.,local,necessitam,na,do,Departamento,Kirt,esta,solteiro,com,curso,Ap.,Alves,as,300,alguma,dois,Lojas,De,durante,Universais,Nova,Sas.,me,quando,minhas,uma,Soube,18,Escola,Rua,Yolanda,resposta,pela,Pessoal,Municipal,e,arquivos];52;145;456
CF00247;[Rayon,dois,anos,de,onde,a,coloco,minhas,uma,Bob,um,do,Sou,300,curso,Escola,alguma,possuo,14506,as,V.,Sas.,na,local,Pessoal,Ap.,Para,Soube,pela,vaga,Rua,S.A.];32;76;469
CF00248;[as,De,um,Na,Dr.,me,na,300,a,18,com,159];12;28;521
CF00249;[Grant,pela,local,me,a,com,exerci,um,do,Dr.,de,portanto,18,Escola,as,300,De];17;24;373
CF00250;[anos,dois,de,onde,um,local,do,necessitam,me,300,possuo,Sas.,Na,Grant,Bob,Ap.,com,a,159,-me,De];21;69;494
CF00251;[do,as,coloco,Na,de,local,Soube,a,De,me,Yolanda,Dr.,300,onde,anos,curso,18];17;48;429
CF00252;[a,de,do,300,local,as,lhes,Bob,18,De];10;28;382
CF00253;[300,a,me,pela,e,De,as,de,Dr.,Rua,159,Grant,na,Kirt];14;30;415
CF00254;[300,de,as,De,a,Sou,com];7;18;390
CF00255;[Bob,de,do,as,a,me,um,18];8;20;363
CF00256;[159,a,18,Sou,De,S.A.,um];7;14;390
CF00257;[de,Bob,Dr.,Fernando,Soube,do,300,18,a,com,Sou,Kirt,possuo,onde,De,me,quando,Alves,as,Rayon,nas,159,na,Ap.,curso,Curso,S.A.];27;73;404
CF00258;[300,de,as,Sas.,e,do,me,a,Sou,18,Alves,Lojas,onde,Rua,Pessoal,esta,Ap.,um,local,dois];20;68;414
CF00259;[de,me,a,pela,local,Rua,com,300,Lojas,as,onde,um,esta,do,De,Para,na,que];18;70;393
CF00260;[Rayon,S.A.,dois,nas,de,as,do,a,minhas,Na,imprensa,300,87,com,onde,De,Nova,159,Bob,Sou,possuo,anos,me,uma,um,vaga,Alves];27;73;515
CF00261;[de,as,me,e,a,do,De];7;37;465
CF00262;[as,a,De,um,com,Dr.,me,18,14506,300,S.A.];11;31;510
CF00263;[coloco,-me,uma,na,Sas.,De,a,18,com,Alves,me,Na,159,do,Pessoal,curso,87,300,um,Escola,Rayon];21;43;444
CF00264;[do,as,um,Dr.,Bob,a,local,Sou,com,18,de,300,Na];13;47;495
CF00265;[de,a,Bob,do,Rayon,onde,as,me,Dr.,Ap.,dois];11;52;385
CF00266;[de,local,Soube,do,um,me,300,com,a,Rua,Contabilidade,Lojas,as,Sas.,anos,Municipal,apresento,Grant,18,Ap.,Alves,onde,Trabalhei];23;74;385
CF00267;[me,de,a,159,local,com,18,as,300,um,do,De,Bob,anos,onde];15;51;408
CF00268;[as,de,a,do,De,300,local,me];8;37;485
CF00269;[me,avaliar,de,Grant,V.,local,que,imprensa,pela,do,a,Pessoal,300,com,Sou,Alves,alguma,datilografia,anos,as,onde,Rayon,Soube,Yolanda,necessitam,um,portanto,esta,Municipal,De];30;77;390
CF00270;[300,De,com,18,a,-];6;16;404
CF00271;[dois,anos,nas,de,as,exerci,a,me,do,apresento,cordiais,Bob,300,solteiro,curso,alguma,V.,De,com,159,onde,um,Soube,na,18,Alves];26;94;533
CF00272;[de,as,me,local,pela,Soube,do,a,300,Rayon,De,dois,coloco,esta,18,Sou,e,Bob,na];19;73;441
CF00273;[de,300,que,Ap.,Rua,para,159,a,lhes,as,do,e];12;26;408
CF00274;[300,a,na,Grant,local,Soube,de,De,me,18,anos,Rayon,cordiais,Para,Dr.,necessitam,com,as,14506,Ap.,Alves,do];22;52;483
CF00275;[para,uma,a,com,Lojas,as,300,me,de,Pessoal,anos,Grant,Soube,que];14;24;387
CF00276;[de,a,Bob,do,me,Pessoal,300,com,anos,as,onde,159,local,18,avaliar,que];16;54;410
CF00277;[de,me,pela,do,Pessoal,Kirt,a,com,300,dois,as,local,esta,que,Municipal];15;63;382
CF00278;[as,a,de,300,lhes,uma,Grant,De,com,do,Rua,V.,159,imprensa,alguma];15;39;447
CF00279;[de,as,300,me,a,do,18,com,De,lhes,e,V.,Universais,para,Soube,que,Pessoal,esta,anos,Ap.];20;72;456
CF00280;[a,me,Para,do,87,de,minhas,Ap.,159,um,300,dois,De];13;27;399
CF00281;[de,as,a,me,quando,do,159,local,Pessoal,esta,Rua,18,300,dois,De,Yolanda,Soube,que,Sou,com,Lojas,87];22;79;456
CF00282;[300,me,Na,Bob,um,a,18,do,as,de,para,que,anos,com,alguma,Rayon,159,De,Rua];19;39;409
CF00283;[Rua,me,159,Na,Grant,local,pela,necessitam,na,300,18,Ap.,de,alguma,Bob,a,do,Escola,De,Yolanda,Dr.];21;48;394
CF00284;[de,as,onde,a,um,Dr.,na,do,18,300,Alves,nas,159,De,local,esta,Lojas,me,com];19;65;466
CF00285;[a,de,me,lhes,um,Ap.,300,e,Rayon,De,Sou,esta,do,Universais,Grant];15;52;480
CF00286;[as,Rua,159,me,a,Grant,pela,Sou,Ap.,300,Pessoal,-me,com,do,de,local,De];17;40;458
CF00287;[a,de,as,-,300,me,Ap.,do,com,Yolanda,Nova,quando,na,local,De,Sou,nas,onde];18;70;603
CF00288;[as,de,a,Bob,local,Pessoal,do,300,me,18,Rua,Rayon,onde,Para,Soube,com,dois,para,De];19;78;431
CF00289;[de,a,uma,me,do,Rua,18,anos,300,com,para,lhes,Dr.,pela,as,alguma,Rayon,159,Soube,portanto,dois,onde];22;53;404
CF00290;[de,as,159,a,Nova,Grant,Dr.,que,um,do,me,anos,Rua,Sas.,onde,Bob,300,Soube,87,Rayon,na,Yolanda,pela,com,nas,dois,De];27;78;434
CF00291;[De,159,a,14506,me,Bob,Dr.,300,de,Rua,87,as,Sou,com];14;35;594
CF00292;[de,a,Rayon,Nova,as,me,do,Bob,Sou,300,e,com,Alves,De,na,Yolanda,nas,lhes,V.,Pessoal,um,uma];22;105;633
CF00293;[Rua,de,a,me,um,que,do,uma,Para,De,local,pela,na,Contabilidade,Rayon,Kirt,quando,Yolanda,Grant,onde];20;45;393
CF00294;[nas,a,me,na,local,um,e,com,de,Rua,300,Ap.];12;22;477
CF00295;[de,me,Grant,que,Soube,do,um,esta,a,18,com,Escola,onde,dois,Rua,exerci,as,minhas,uma,300,87,para,Nova,portanto,durante,De];26;75;387
CF00296;[300,a,Sas.,De,159,Rua,com,18,Ap.,Na,87,as,um,-];14;34;398
CF00297;[de,me,a,quando,necessitam,local,do,na,18,com,anos,300,Lojas,Universais,nas,onde,as,apresento,cordiais,Soube,esta,Alves,datilografia,87,um,Yolanda,dois];27;87;392
CF00298;[de,300,me,do,a,Grant,local,que,as,esta,18,anos,Rua,Alves,dois,Ap.,onde,159,minhas,uma,com,um,Soube];23;82;436
CF00299;[159,a,Grant,de,esta,do,e,Alves,as,300,minhas,local,vaga,dois,Lojas,Ap.,De,Rayon,para,Yolanda,18,Rua];22;46;432
CF00300;[de,me,para,Soube,do,a,300,Rayon,onde,Para,Grant,pela,dois,159,com,nas,as,De];18;71;400
CF00301;[me,de,159,Bob,do,a,as,14506,Dr.,Soube,um,com,Alves,300,dois,nas,cordiais,uma,Nova,que,Ap.,onde,De];23;65;394
CF00302;[a,de,durante,dois,anos,as,onde,exerci,300,me,para,do,Nova,Fernando,Para,Grant,Soube,local,pela,na,Rua,portanto,esta,Sou,solteiro,com,curso,e,possuo,De,um,Na,Dr.,Bob,que,Pessoal,vaga,18,Escola,alguma,coloco,minhas,apresento,Curso,Alves];45;144;544
CF00303;[de,me,14506,V.,Soube,do,um,a,Rayon,159,que,300,alguma,as,avaliar,Alves,Ap.,onde,De];19;50;424
CF00304;[a,me,de,uma,Dr.,um,esta,18,do,as,De,lhes,300,Alves,V.,Rua];16;44;386
CF00305;[a,minhas,de,do,local,esta,me,300,anos,Universais,nas,onde,as,um,avaliar,e,portanto,dois,De,Lojas];20;80;433
CF00306;[do,a,pela,de,300,durante,as,me,curso,87,Pessoal,18,anos,De];14;59;386
CF00307;[dois,de,a,as,V.,do,159,Grant,Dr.,local,pela,na,me,Pessoal,De,Rua,com,alguma,Rayon,onde,minhas,cordiais,Bob,portanto,300,anos,Yolanda,Nova,expectativa,Ap.,datilografia];31;87;449
CF00308;[159,de,Na,local,que,Soube,me,Pessoal,do,300,com,Alves,Ap.,onde,dois,nas,as,para,uma,Para,imprensa,candidatar,-me,a,Grant,esta,18,um];28;63;357
CF00309;[a,de,V.,do,87,me,com,Ap.,dois,as,Sas.,um,uma,159,Soube,que,e,apresento,Para,Dr.,pela,Sou,300,De];24;75;373
CF00310;[a,anos,as,onde,159,Yolanda,do,Dr.,local,pela,Rua,me,300,18,com,curso,De,uma,Ap.,de,dois,Rayon,avaliar,Na,Para,Grant,esta,vaga,Kirt,exerci,na,Pessoal];32;94;662
CF00311;[de,a,com,do,onde,Soube,me,e,De,as];10;32;360
CF00312;[300,de,um,a,me,do,Ap.];7;38;384
CF00313;[as,de,me,V.,159,Grant,Soube,do,a,Rua,300,cordiais,Dr.,anos,onde,pela,Kirt,18,De];19;70;420
CF00314;[as,a,159,de,Dr.,do,300,De,me,Ap.,com,dois,um];13;47;421
CF00315;[de,me,159,uma,Grant,anos,Bob,do,a,87,18,300,nas,as,local,um,Pessoal,com,Escola,onde,14506,na,venho,Rua];24;71;384
